date,max,min
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
2026-02-17,8.7,4.9
2026-02-18,10.1,2.8
2026-02-19,10.5,7.4
2026-02-20,12.0,6.1
2026-02-21,15.7,10.6
2026-02-22,14.0,11.6
2026-02-23,15.7,10.2
2026-02-24,16.8,11.2
